epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,4515.53,1.33832,1.34758,1.55615,0.70095,0.70812,0.73964,0.4797,1.44913,1.22759,1.64984,0.002377,0.002377,0.002377
79,4590.72,1.33066,1.32146,1.55069,0.73136,0.68313,0.74701,0.48602,1.44597,1.1978,1.6389,0.002278,0.002278,0.002278
80,4665.66,1.33022,1.32983,1.54474,0.70962,0.68551,0.73645,0.47952,1.44561,1.22336,1.63898,0.002179,0.002179,0.002179
81,4740.85,1.32309,1.33287,1.54933,0.69452,0.71703,0.7449,0.48355,1.44921,1.21745,1.63908,0.00208,0.00208,0.00208
82,4816.23,1.33102,1.32261,1.55127,0.73191,0.6884,0.75079,0.48875,1.44243,1.20258,1.63326,0.001981,0.001981,0.001981
83,4891.4,1.32781,1.32279,1.5483,0.70693,0.70965,0.7522,0.49289,1.44162,1.19021,1.63043,0.001882,0.001882,0.001882
84,4966.26,1.31847,1.29689,1.53187,0.71835,0.70201,0.75206,0.49498,1.43996,1.18706,1.63079,0.001783,0.001783,0.001783
85,5041.11,1.30925,1.29195,1.53262,0.73403,0.70318,0.7574,0.49694,1.44535,1.18477,1.63684,0.001684,0.001684,0.001684
86,5116.85,1.31292,1.29694,1.53243,0.73019,0.69178,0.75309,0.49535,1.4401,1.18694,1.62725,0.001585,0.001585,0.001585
87,5191.91,1.29906,1.28513,1.52433,0.73722,0.69461,0.75217,0.49431,1.43358,1.18376,1.6191,0.001486,0.001486,0.001486
88,5266.91,1.30238,1.26669,1.5179,0.73855,0.7109,0.75702,0.49551,1.43951,1.18252,1.6217,0.001387,0.001387,0.001387
89,5342.07,1.29593,1.26834,1.51872,0.74849,0.69658,0.7574,0.49858,1.43531,1.17053,1.62132,0.001288,0.001288,0.001288
90,5417.38,1.2887,1.25821,1.51131,0.75883,0.68345,0.75727,0.49539,1.43694,1.17272,1.61678,0.001189,0.001189,0.001189
91,5529.9,1.34979,1.21286,1.5785,0.74588,0.69233,0.75883,0.50023,1.42831,1.18206,1.62148,0.00109,0.00109,0.00109
92,5604.72,1.31428,1.14921,1.54903,0.7172,0.7149,0.75821,0.50113,1.42698,1.18125,1.61752,0.000991,0.000991,0.000991
93,5679.39,1.3075,1.14078,1.53855,0.73352,0.70556,0.76,0.50133,1.42773,1.18083,1.61674,0.000892,0.000892,0.000892
94,5754.01,1.30572,1.11294,1.53321,0.73191,0.7179,0.76258,0.50575,1.42881,1.17227,1.60928,0.000793,0.000793,0.000793
95,5828.96,1.29428,1.10154,1.52413,0.73665,0.71779,0.76372,0.50846,1.42864,1.17222,1.60763,0.000694,0.000694,0.000694
96,5903.52,1.28957,1.10026,1.52764,0.73436,0.71736,0.7611,0.50358,1.42529,1.17224,1.61041,0.000595,0.000595,0.000595
97,5978.28,1.27476,1.08354,1.51605,0.74405,0.70635,0.76412,0.50929,1.42724,1.1621,1.61347,0.000496,0.000496,0.000496
98,6052.94,1.27315,1.06829,1.50758,0.74113,0.7226,0.76656,0.51062,1.42901,1.15384,1.6097,0.000397,0.000397,0.000397
99,6127.56,1.25831,1.0457,1.49733,0.74903,0.72158,0.76747,0.51211,1.42843,1.1558,1.60858,0.000298,0.000298,0.000298
100,6202.3,1.25656,1.04157,1.49636,0.73506,0.72344,0.76714,0.51209,1.42916,1.15486,1.60637,0.000199,0.000199,0.000199
